ACTUAL,pr_out1,pr_out2,pr_out3,pr_out4,pr_out5,pr_out6,pr_out7,pr_out8,pr_out9,pr_out10,average output,error,% error
68,73,76,76,73,73,76,73,76,73,76,74.5,0.095588235,9.558823529
69,84,86,86,86,86,84,86,86,86,86,85.6,0.24057971,24.05797101
67,84,84,84,84,84,84,84,84,84,84,84,0.253731343,25.37313433
66,72,69,72,69,72,69,69,72,69,69,70.2,0.063636364,6.363636364
66,86,86,86,86,86,86,86,86,86,86,86,0.303030303,30.3030303
63,79,79,79,79,79,79,79,79,78,79,78.9,0.252380952,25.23809524
63,84,84,84,84,84,84,84,84,84,84,84,0.333333333,33.33333333
68,72,72,72,72,72,72,72,72,72,72,72,0.058823529,5.882352941
70,72,72,70,69,70,67,69,67,72,70,69.8,0.002857143,0.285714286
70,84,84,84,84,84,84,84,84,84,84,84,0.2,20
68,86,86,86,86,86,86,86,86,86,86,86,0.264705882,26.47058824
66,84,84,84,84,84,84,84,84,84,84,84,0.272727273,27.27272727
66,78,78,78,78,78,78,78,78,78,78,78,0.181818182,18.18181818
68,88,88,88,88,86,86,88,86,88,86,87.2,0.282352941,28.23529412
70,66,66,66,66,66,66,66,66,66,66,66,0.057142857,5.714285714
68,82,82,85,82,82,82,82,82,85,82,82.6,0.214705882,21.47058824
68,84,84,84,84,84,84,84,84,84,84,84,0.235294118,23.52941176
68,79,79,79,79,79,79,79,79,79,79,79,0.161764706,16.17647059
66,86,86,86,86,86,86,86,86,86,86,86,0.303030303,30.3030303
68,88,88,88,88,88,88,88,88,88,88,88,0.294117647,29.41176471
70,84,84,84,84,84,84,84,84,84,84,84,0.2,20
70,80,84,80,80,84,80,80,84,84,84,82,0.171428571,17.14285714
68,86,86,86,86,88,86,86,86,86,88,86.4,0.270588235,27.05882353
68,77,77,77,78,77,77,77,78,77,78,77.3,0.136764706,13.67647059
70,81,81,81,81,81,81,81,81,81,81,81,0.157142857,15.71428571
70,66,66,66,66,66,66,66,66,66,66,66,0.057142857,5.714285714
68,81,81,83,86,83,83,81,86,86,81,83.1,0.222058824,22.20588235
69,81,81,81,81,81,81,81,81,81,81,81,0.173913043,17.39130435
68,84,84,84,84,84,84,84,84,84,84,84,0.235294118,23.52941176
68,85,85,85,90,85,85,85,85,90,85,86,0.264705882,26.47058824
71,78,78,78,78,78,78,78,78,78,78,78,0.098591549,9.85915493
71,85,85,85,85,85,85,85,85,85,85,85,0.197183099,19.71830986
74,82,82,82,82,82,82,82,82,82,82,82,0.108108108,10.81081081
73,85,85,85,85,85,85,85,85,85,85,85,0.164383562,16.43835616
75,71,73,71,73,73,72,73,73,71,71,72.1,0.038666667,3.866666667
74,70,70,70,70,70,70,70,70,70,70,70,0.054054054,5.405405405
70,88,88,88,86,88,88,88,88,88,88,87.8,0.254285714,25.42857143
67,72,72,70,70,70,67,70,67,67,70,69.5,0.037313433,3.731343284
68,79,79,79,79,79,79,79,79,79,79,79,0.161764706,16.17647059
71,78,78,78,78,78,80,78,78,78,78,78.2,0.101408451,10.14084507
71,78,78,80,80,80,79,78,78,78,78,78.7,0.108450704,10.84507042
